epoch,loss,val_loss
0,0.21791795375347137,0.1774270637989044
1,0.15792001979351045,0.14740602369308473
2,0.1436419073820114,0.13523863253593446
3,0.13570669421752293,0.13197610502243043
4,0.13062728271484375,0.12862936544418335
5,0.12669344414075215,0.1227911227941513
6,0.12407009533643723,0.12065526800155639
7,0.12160570414861044,0.1181711578130722
8,0.11944855853319168,0.1170321157336235
9,0.11788372348149617,0.11865430295467377
10,0.1165452247897784,0.1165958069562912
11,0.1153347211877505,0.11357584435939788
12,0.1143424301981926,0.1135001214504242
13,0.11355296729405721,0.11142390403747558
14,0.11231015356779099,0.1112566499710083
15,0.1115846250017484,0.1131120775103569
16,0.11073175763686498,0.11003239568471909
17,0.11010972080628077,0.10912200781106948
18,0.10928624252875646,0.10771945915222168
19,0.10865031600395839,0.10725613210201264
20,0.10790032073259354,0.10910418064594268
21,0.10774453097979228,0.10858491563796997
22,0.10698252087036769,0.10683418581485749
23,0.10677872915665308,0.1062258112668991
24,0.10614510398308435,0.10826794128417969
25,0.10589200005928676,0.10817246599197387
26,0.10539707598288854,0.10582658901214599
27,0.1050952900926272,0.10257137296199799
28,0.1047151183962822,0.10597206251621247
29,0.10422902848323186,0.10234383990764617
30,0.10392256908019384,0.10168943783044815
31,0.10356323280334473,0.10088877264261245
32,0.10317056614557903,0.10097413438558578
33,0.10288300067981085,0.10198460026979446
34,0.10266707339684168,0.10202478756904602
35,0.10256718084017435,0.09938459588289261
36,0.10225377844572067,0.10079977452754975
37,0.10195555453697841,0.10034593697786331
38,0.10177456322113673,0.10115112025737763
39,0.10133361903826396,0.10184380009174347
40,0.10105071813265483,0.10027544614076614
41,0.10096652498642604,0.10095226286649704
42,0.10084303550720215,0.09868705213069916
43,0.1006973358988762,0.09862845983505249
44,0.10041558785835902,0.09777249581813813
45,0.10033367842038472,0.10010725207328797
46,0.10009252305428187,0.10238688187599182
47,0.09981710095405578,0.09799396815299988
48,0.09971569089492162,0.097688858127594
49,0.09950694435834885,0.0967575801372528
